locationId,locationDate,uvId,uvIndex
1,2024/3/1,9,9.89
1,2024/3/2,8,8.45
1,2024/3/3,9,9.24
1,2024/3/4,9,9.26
1,2024/3/5,8,8.81
1,2024/3/6,6,6.32
1,2024/3/7,6,6.99
1,2024/3/8,7,7.3
1,2024/3/9,7,7.77
1,2024/3/10,7,7.63
1,2024/3/11,7,7.99
1,2024/3/12,8,8.11
1,2024/3/13,7,7.52
1,2024/3/14,4,4.58
1,2024/3/15,8,8.64
1,2024/3/16,8,8.4
1,2024/3/17,6,6.6
1,2024/3/18,8,8.32
1,2024/3/19,7,7.59
1,2024/3/20,8,8.51
1,2024/3/21,7,7.18
1,2024/3/22,7,7.32
1,2024/3/23,7,7.42
1,2024/3/24,6,6.79
1,2024/3/25,6,6.78
1,2024/3/26,6,6.62
1,2024/3/27,6,6.31
1,2024/3/28,6,6.62
1,2024/3/29,6,6.19
1,2024/3/30,6,6.05
1,2024/3/31,5,5.94
2,2024/3/1,9,9.41
2,2024/3/2,5,5.4
2,2024/3/3,9,9.52
2,2024/3/4,10,10.91
2,2024/3/5,9,9.16
2,2024/3/6,8,8.91
2,2024/3/7,8,8.35
2,2024/3/8,8,8.62
2,2024/3/9,8,8.8
2,2024/3/10,9,9.09
2,2024/3/11,9,9.51
2,2024/3/12,8,8.65
2,2024/3/13,8,8.86
2,2024/3/14,8,8.26
2,2024/3/15,8,8.99
2,2024/3/16,8,8.63
2,2024/3/17,7,7.02
2,2024/3/18,7,7.96
2,2024/3/19,8,8.63
2,2024/3/20,5,5.85
2,2024/3/21,8,8.11
2,2024/3/22,7,7.7
2,2024/3/23,8,8.02
2,2024/3/24,7,7.29
2,2024/3/25,7,7.23
2,2024/3/26,6,6.86
2,2024/3/27,7,7.61
2,2024/3/28,6,6.69
2,2024/3/29,7,7.31
2,2024/3/30,6,6.25
2,2024/3/31,6,6.41
3,2024/3/1,10,10.23
3,2024/3/2,7,7.18
3,2024/3/3,11,11.62
3,2024/3/4,11,11.32
3,2024/3/5,10,10.44
3,2024/3/6,10,10.13
3,2024/3/7,10,10.06
3,2024/3/8,10,10.72
3,2024/3/9,9,9.47
3,2024/3/10,9,9.88
3,2024/3/11,10,10.13
3,2024/3/12,10,10.31
3,2024/3/13,10,10.04
3,2024/3/14,10,10.75
3,2024/3/15,10,10.85
3,2024/3/16,9,9.5
3,2024/3/17,9,9.07
3,2024/3/18,8,8.63
3,2024/3/19,8,8.62
3,2024/3/20,8,8.63
3,2024/3/21,8,8.62
3,2024/3/22,8,8.41
3,2024/3/23,8,8.1
3,2024/3/24,8,8.5
3,2024/3/25,8,8.5
3,2024/3/26,8,8.17
3,2024/3/27,8,8.27
3,2024/3/28,8,8.12
3,2024/3/29,7,7.93
3,2024/3/30,7,7.83
3,2024/3/31,7,7.83
4,2024/3/1,9,9.18
4,2024/3/2,10,10.1
4,2024/3/3,8,8.49
4,2024/3/4,8,8.77
4,2024/3/5,8,8.4
4,2024/3/6,7,7.88
4,2024/3/7,8,8.11
4,2024/3/8,7,7.86
4,2024/3/9,7,7.88
4,2024/3/10,7,7.75
4,2024/3/11,8,8.14
4,2024/3/12,4,4.15
4,2024/3/13,5,5.26
4,2024/3/14,8,8
4,2024/3/15,7,7.88
4,2024/3/16,7,7.05
4,2024/3/17,6,6.74
4,2024/3/18,6,6.6
4,2024/3/19,7,7.87
4,2024/3/20,7,7.27
4,2024/3/21,6,6.9
4,2024/3/22,6,6.34
4,2024/3/23,6,6.45
4,2024/3/24,7,7.01
4,2024/3/25,6,6.64
4,2024/3/26,6,6.9
4,2024/3/27,7,7.01
4,2024/3/28,6,6.75
4,2024/3/29,6,6.19
4,2024/3/30,5,5.59
4,2024/3/31,5,5.67
5,2024/3/1,12,15.12
5,2024/3/2,12,15.24
5,2024/3/3,12,14.18
5,2024/3/4,12,14.99
5,2024/3/5,12,14.4
5,2024/3/6,6,6.9
5,2024/3/7,9,9
5,2024/3/8,12,15.03
5,2024/3/9,12,17.2
5,2024/3/10,12,16.17
5,2024/3/11,12,13.15
5,2024/3/12,12,17.37
5,2024/3/13,12,17.26
5,2024/3/14,12,12.15
5,2024/3/15,7,7.48
5,2024/3/16,12,14.74
5,2024/3/17,12,14.54
5,2024/3/18,11,11.49
5,2024/3/19,12,13.82
5,2024/3/20,12,14.41
5,2024/3/21,12,15.07
5,2024/3/22,12,16.51
5,2024/3/23,12,14.37
5,2024/3/24,12,13.7
5,2024/3/25,12,13.51
5,2024/3/26,12,13.85
5,2024/3/27,11,11.69
5,2024/3/28,12,13.18
5,2024/3/29,12,13.93
5,2024/3/30,8,8.99
5,2024/3/31,12,13.8
6,2024/3/1,12,12.2
6,2024/3/2,11,11.24
6,2024/3/3,9,9.97
6,2024/3/4,11,11.22
6,2024/3/5,11,11.18
6,2024/3/6,11,11.35
6,2024/3/7,10,10.65
6,2024/3/8,11,11.17
6,2024/3/9,12,12.01
6,2024/3/10,10,10.66
6,2024/3/11,8,8.52
6,2024/3/12,12,12
6,2024/3/13,11,11.78
6,2024/3/14,11,11.61
6,2024/3/15,10,10.18
6,2024/3/16,10,10.93
6,2024/3/17,12,12.18
6,2024/3/18,11,11.21
6,2024/3/19,11,11.2
6,2024/3/20,11,11.12
6,2024/3/21,5,5.41
6,2024/3/22,11,11.09
6,2024/3/23,7,7.9
6,2024/3/24,3,3.73
6,2024/3/25,4,4.16
6,2024/3/26,5,5.31
6,2024/3/27,7,7.24
6,2024/3/28,10,10.38
6,2024/3/29,9,9.46
6,2024/3/30,9,9.57
6,2024/3/31,6,6.95
7,2024/3/1,9,9.63
7,2024/3/2,9,9.13
7,2024/3/3,9,9.33
7,2024/3/4,9,9.69
7,2024/3/5,9,9.24
7,2024/3/6,8,8.56
7,2024/3/7,8,8.4
7,2024/3/8,8,8.45
7,2024/3/9,8,8.7
7,2024/3/10,8,8.75
7,2024/3/11,9,9.22
7,2024/3/12,10,10.12
7,2024/3/13,6,6.78
7,2024/3/14,9,9.55
7,2024/3/15,8,8.45
7,2024/3/16,9,9.25
7,2024/3/17,7,7.66
7,2024/3/18,7,7.5
7,2024/3/19,9,9.95
7,2024/3/20,7,7.94
7,2024/3/21,7,7.38
7,2024/3/22,7,7.09
7,2024/3/23,7,7.04
7,2024/3/24,7,7.11
7,2024/3/25,6,6.98
7,2024/3/26,7,7.04
7,2024/3/27,7,7.23
7,2024/3/28,6,6.87
7,2024/3/29,7,7.06
7,2024/3/30,6,6.43
7,2024/3/31,6,6.24
